飞机转场记录号,"到达
日期","到达
时刻","到达
航班",到达类型,飞机型号,"出发
日期","出发
时刻","出发
航班",出发类型,"上线
机场","下线
机场",L,到达时刻,出发时刻,F_aI,F_aD,F_oI,F_oD,修正到达时刻,偏移出发时刻,修正出发时刻,到达相对时间min,出发相对时间min,占用开始索引,占用结束索引
PK062,2018-01-19 00:00:00,14:55:00,GN0523,D,73E,2018-01-20 00:00:00,16:20:00,GN0256,D,NJH,ZDV,0,2018-01-19 14:55:00,2018-01-20 16:20:00,0,1,0,1,2018-01-20 00:00:00,2018-01-20 17:05:00,2018-01-20 17:05:00,0,1025,0,205
PK072,2018-01-19 00:00:00,15:35:00,GN0497,D,73L,2018-01-20 00:00:00,17:05:00,GN0644,D,OOH,YNO,0,2018-01-19 15:35:00,2018-01-20 17:05:00,0,1,0,1,2018-01-20 00:00:00,2018-01-20 17:50:00,2018-01-20 17:50:00,0,1070,0,214
PK089,2018-01-19 00:00:00,16:30:00,NV663,I,33H,2018-01-20 00:00:00,13:30:00,NV692,I,MIS,ZWS,1,2018-01-19 16:30:00,2018-01-20 13:30:00,1,0,1,0,2018-01-20 00:00:00,2018-01-20 14:15:00,2018-01-20 14:15:00,0,855,0,171
PK094,2018-01-19 00:00:00,16:55:00,NV693,I,33H,2018-01-20 00:00:00,13:00:00,NV662,I,ZWS,MIS,1,2018-01-19 16:55:00,2018-01-20 13:00:00,1,0,1,0,2018-01-20 00:00:00,2018-01-20 13:45:00,2018-01-20 13:45:00,0,825,0,165
PK102,2018-01-19 00:00:00,17:35:00,GN0209,D,73A,2018-01-20 00:00:00,13:50:00,GN0658,D,BPH,UHP,0,2018-01-19 17:35:00,2018-01-20 13:50:00,0,1,0,1,2018-01-20 00:00:00,2018-01-20 14:35:00,2018-01-20 14:35:00,0,875,0,175
PK104,2018-01-19 00:00:00,17:50:00,NV697,I,773,2018-01-20 00:00:00, 0:20,NV840,I,MBY,NFM,1,2018-01-19 17:50:00,2018-01-20 00:20:00,1,0,1,0,2018-01-20 00:00:00,2018-01-20 01:05:00,2018-01-20 01:05:00,0,65,0,13
PK106,2018-01-19 00:00:00,17:55:00,NV6489,D,773,2018-01-20 00:00:00, 0:55,NV880,I,TZY,BLM,1,2018-01-19 17:55:00,2018-01-20 00:55:00,0,1,1,0,2018-01-20 00:00:00,2018-01-20 01:40:00,2018-01-20 01:40:00,0,100,0,20
PK107,2018-01-19 00:00:00,18:00:00,NV601,I,773,2018-01-20 00:00:00,0:05:00,NV664,I,TGP,DEH,1,2018-01-19 18:00:00,2018-01-20 00:05:00,1,0,1,0,2018-01-20 00:00:00,2018-01-20 00:50:00,2018-01-20 00:50:00,0,50,0,10
PK108,2018-01-19 00:00:00,18:05:00,NV821,I,33H,2018-01-20 00:00:00, 0:20,NV608,I,NBE,ZWS,1,2018-01-19 18:05:00,2018-01-20 00:20:00,1,0,1,0,2018-01-20 00:00:00,2018-01-20 01:05:00,2018-01-20 01:05:00,0,65,0,13
PK112,2018-01-19 00:00:00,18:20:00,NV6253,D,320,2018-01-20 00:00:00,10:10:00,NV316,I,MMW,DOY,0,2018-01-19 18:20:00,2018-01-20 10:10:00,0,1,1,0,2018-01-20 00:00:00,2018-01-20 10:55:00,2018-01-20 10:55:00,0,655,0,131
PK117,2018-01-19 00:00:00,18:35:00,NV6779,D,320,2018-01-20 00:00:00, 7:45,NV6738,D,EMD,EMD,0,2018-01-19 18:35:00,2018-01-20 07:45:00,0,1,0,1,2018-01-20 00:00:00,2018-01-20 08:30:00,2018-01-20 08:30:00,0,510,0,102
PK129,2018-01-19 00:00:00,19:20:00,NV319,I,773,2018-01-20 00:00:00,0:05:00,NV846,I,ZZA,TZE,1,2018-01-19 19:20:00,2018-01-20 00:05:00,1,0,1,0,2018-01-20 00:00:00,2018-01-20 00:50:00,2018-01-20 00:50:00,0,50,0,10
PK131,2018-01-19 00:00:00,19:30:00,NV673,I,33E,2018-01-20 00:00:00, 0:10,NV320,I,TZE,GSB,1,2018-01-19 19:30:00,2018-01-20 00:10:00,1,0,1,0,2018-01-20 00:00:00,2018-01-20 00:55:00,2018-01-20 00:55:00,0,55,0,11
PK136,2018-01-19 00:00:00,19:50:00,NV6753,D,319,2018-01-20 00:00:00, 8:15,NV6358,D,EMD,EBU,0,2018-01-19 19:50:00,2018-01-20 08:15:00,0,1,0,1,2018-01-20 00:00:00,2018-01-20 09:00:00,2018-01-20 09:00:00,0,540,0,108
PK142,2018-01-19 00:00:00,20:10:00,GN0237,D,73H,2018-01-20 00:00:00,10:40:00,GN920,I,SJA,UTB,0,2018-01-19 20:10:00,2018-01-20 10:40:00,0,1,1,0,2018-01-20 00:00:00,2018-01-20 11:25:00,2018-01-20 11:25:00,0,685,0,137
PK144,2018-01-19 00:00:00,20:10:00,NV621,I,325,2018-01-20 00:00:00, 1:50,NV322,I,ILH,NOM,0,2018-01-19 20:10:00,2018-01-20 01:50:00,1,0,1,0,2018-01-20 00:00:00,2018-01-20 02:35:00,2018-01-20 02:35:00,0,155,0,31
PK145,2018-01-19 00:00:00,20:10:00,NV6317,D,319,2018-01-20 00:00:00,13:55:00,NV6540,D,ITO,UTO,0,2018-01-19 20:10:00,2018-01-20 13:55:00,0,1,0,1,2018-01-20 00:00:00,2018-01-20 14:40:00,2018-01-20 14:40:00,0,880,0,176
PK147,2018-01-19 00:00:00,20:15:00,NV6725,D,320,2018-01-20 00:00:00, 8:20,NV6724,D,ISC,ISC,0,2018-01-19 20:15:00,2018-01-20 08:20:00,0,1,0,1,2018-01-20 00:00:00,2018-01-20 09:05:00,2018-01-20 09:05:00,0,545,0,109
PK148,2018-01-19 00:00:00,20:20:00,NV6549,D,319,2018-01-20 00:00:00, 9:30,NV306,I,OBP,LJK,0,2018-01-19 20:20:00,2018-01-20 09:30:00,0,1,1,0,2018-01-20 00:00:00,2018-01-20 10:15:00,2018-01-20 10:15:00,0,615,0,123
PK149,2018-01-19 00:00:00,20:25:00,NV317,I,320,2018-01-20 00:00:00, 0:15,NV6134,I,DOY,DFC,0,2018-01-19 20:25:00,2018-01-20 00:15:00,1,0,1,0,2018-01-20 00:00:00,2018-01-20 01:00:00,2018-01-20 01:00:00,0,60,0,12
PK150,2018-01-19 00:00:00,20:25:00,NV3278,D,325,2018-01-20 00:00:00, 6:40,NV3446,D,YJZ,YJZ,0,2018-01-19 20:25:00,2018-01-20 06:40:00,0,1,0,1,2018-01-20 00:00:00,2018-01-20 07:25:00,2018-01-20 07:25:00,0,445,0,89
PK151,2018-01-19 00:00:00,20:30:00,NV6117,I,33E,2018-01-20 00:00:00,10:05:00,NV866,D,UQF,LNH,1,2018-01-19 20:30:00,2018-01-20 10:05:00,1,0,0,1,2018-01-20 00:00:00,2018-01-20 10:50:00,2018-01-20 10:50:00,0,650,0,130
PK155,2018-01-19 00:00:00,20:45:00,NV6375,D,323,2018-01-20 00:00:00,9:00:00,NV6230,D,ZOU,QFL,0,2018-01-19 20:45:00,2018-01-20 09:00:00,0,1,0,1,2018-01-20 00:00:00,2018-01-20 09:45:00,2018-01-20 09:45:00,0,585,0,117
PK156,2018-01-19 00:00:00,21:00:00,NV6495,D,320,2018-01-20 00:00:00,8:00:00,NV6154,I,AZJ,QVT,0,2018-01-19 21:00:00,2018-01-20 08:00:00,0,1,1,0,2018-01-20 00:00:00,2018-01-20 08:45:00,2018-01-20 08:45:00,0,525,0,105
PK159,2018-01-19 00:00:00,21:05:00,NV651,I,33E,2018-01-20 00:00:00,12:30:00,NV898,I,IOE,GDP,1,2018-01-19 21:05:00,2018-01-20 12:30:00,1,0,1,0,2018-01-20 00:00:00,2018-01-20 13:15:00,2018-01-20 13:15:00,0,795,0,159
PK165,2018-01-19 00:00:00,21:20:00,NV6699,D,320,2018-01-20 00:00:00, 8:55,NV336,I,GPD,LJY,0,2018-01-19 21:20:00,2018-01-20 08:55:00,0,1,1,0,2018-01-20 00:00:00,2018-01-20 09:40:00,2018-01-20 09:40:00,0,580,0,116
PK168,2018-01-19 00:00:00,21:40:00,NV6241,D,325,2018-01-20 00:00:00, 9:25,NV6376,D,QFL,CIZ,0,2018-01-19 21:40:00,2018-01-20 09:25:00,0,1,0,1,2018-01-20 00:00:00,2018-01-20 10:10:00,2018-01-20 10:10:00,0,610,0,122
PK170,2018-01-19 00:00:00,21:50:00,NV3270,D,321,2018-01-20 00:00:00,8:05:00,NV3263,D,YJZ,YJZ,0,2018-01-19 21:50:00,2018-01-20 08:05:00,0,1,0,1,2018-01-20 00:00:00,2018-01-20 08:50:00,2018-01-20 08:50:00,0,530,0,106
PK171,2018-01-19 00:00:00,21:50:00,NV6319,D,73E,2018-01-20 00:00:00, 8:30,NV6734,D,MAI,EMD,0,2018-01-19 21:50:00,2018-01-20 08:30:00,0,1,0,1,2018-01-20 00:00:00,2018-01-20 09:15:00,2018-01-20 09:15:00,0,555,0,111
PK173,2018-01-19 00:00:00,22:00:00,GN0541,D,738,2018-01-20 00:00:00, 6:40,GN0480,D,IOZ,LXM,0,2018-01-19 22:00:00,2018-01-20 06:40:00,0,1,0,1,2018-01-20 00:00:00,2018-01-20 07:25:00,2018-01-20 07:25:00,0,445,0,89
PK174,2018-01-19 00:00:00,22:00:00,NV6405,D,320,2018-01-20 00:00:00, 9:55,NV3280,D,DHP,ZOU,0,2018-01-19 22:00:00,2018-01-20 09:55:00,0,1,0,1,2018-01-20 00:00:00,2018-01-20 10:40:00,2018-01-20 10:40:00,0,640,0,128
PK175,2018-01-19 00:00:00,22:05:00,GN0489,D,73E,2018-01-20 00:00:00, 7:30,GN0282,D,LXM,ISC,0,2018-01-19 22:05:00,2018-01-20 07:30:00,0,1,0,1,2018-01-20 00:00:00,2018-01-20 08:15:00,2018-01-20 08:15:00,0,495,0,99
PK177,2018-01-19 00:00:00,22:05:00,NV6769,D,320,2018-01-20 00:00:00, 8:35,NV612,I,IEH,ILH,0,2018-01-19 22:05:00,2018-01-20 08:35:00,0,1,1,0,2018-01-20 00:00:00,2018-01-20 09:20:00,2018-01-20 09:20:00,0,560,0,112
PK178,2018-01-19 00:00:00,22:10:00,GN945,I,73H,2018-01-20 00:00:00, 9:40,GN0476,D,CLL,ZJI,0,2018-01-19 22:10:00,2018-01-20 09:40:00,1,0,0,1,2018-01-20 00:00:00,2018-01-20 10:25:00,2018-01-20 10:25:00,0,625,0,125
PK179,2018-01-19 00:00:00,22:15:00,NV6763,D,320,2018-01-20 00:00:00, 6:40,NV6748,D,ZOK,IEH,0,2018-01-19 22:15:00,2018-01-20 06:40:00,0,1,0,1,2018-01-20 00:00:00,2018-01-20 07:25:00,2018-01-20 07:25:00,0,445,0,89
PK180,2018-01-19 00:00:00,22:25:00,GN0247,D,73A,2018-01-20 00:00:00, 6:55,GN0252,D,CBW,CQF,0,2018-01-19 22:25:00,2018-01-20 06:55:00,0,1,0,1,2018-01-20 00:00:00,2018-01-20 07:40:00,2018-01-20 07:40:00,0,460,0,92
PK181,2018-01-19 00:00:00,22:25:00,GN0645,D,325,2018-01-20 00:00:00, 8:55,GN0478,D,YNO,TIF,0,2018-01-19 22:25:00,2018-01-20 08:55:00,0,1,0,1,2018-01-20 00:00:00,2018-01-20 09:40:00,2018-01-20 09:40:00,0,580,0,116
PK182,2018-01-19 00:00:00,22:30:00,GN0291,D,73E,2018-01-20 00:00:00,8:00:00,GN0522,D,DHR,NJH,0,2018-01-19 22:30:00,2018-01-20 08:00:00,0,1,0,1,2018-01-20 00:00:00,2018-01-20 08:45:00,2018-01-20 08:45:00,0,525,0,105
