"到达
航班","出发
航班",到达类型,出发类型,到达转场号,出发转场号,乘客数
NV677,NV6154,I,I,PK449,PK156,49
NV323,NV318,I,I,PK260,PK464,44
NV883,NV6773,I,D,PK466,PK488,30
NV343,NV6152,I,I,PK460,PK450,27
NV6155,NV656,I,I,PK285,PK304,26
NV871,NV6152,I,I,PK455,PK450,26
NV6241,NV880,D,I,PK168,PK106,24
NV6575,NV830,D,I,PK293,PK275,23
NV323,NV692,I,I,PK260,PK089,23
NV6117,NV664,I,I,PK393,PK363,22
NV615,NV6720,I,D,PK354,PK346,20
NV6241,NV880,D,I,PK412,PK458,20
NV655,NV6734,I,D,PK457,PK171,19
NV3119,NV6632,I,D,PK368,PK398,18
NV635,NV859,I,D,PK333,PK366,18
NV841,NV3703,I,D,PK274,PK278,17
NV323,NV694,I,I,PK260,PK453,17
NV858,NV6144,D,I,PK265,PK261,17
NV883,NV6577,I,D,PK466,PK477,16
NV6684,NV618,D,I,PK482,PK262,16
NV847,NV6230,I,D,PK453,PK155,14
NV883,NV3196,I,I,PK466,PK475,14
NV849,NV6297,I,D,PK377,PK368,14
NV382,NV638,D,I,PK313,PK334,14
NV309,NV6616,I,D,PK454,PK185,13
NV383,NV6742,I,D,PK290,PK295,12
NV6785,NV610,D,I,PK271,PK274,12
NV6551,NV6134,D,I,PK388,PK391,12
NV6575,NV382,D,I,PK293,PK313,12
NV6171,NV616,I,I,PK295,PK303,11
NV689,NV6152,I,I,PK464,PK450,11
NV665,NV6612,I,D,PK468,PK478,11
NV673,NV6714,I,D,PK373,PK369,11
NV689,NV6446,I,D,PK464,PK184,11
NV6697,NV898,D,I,PK478,PK159,11
NV3120,NV858,D,I,PK257,PK265,11
NV871,NV6154,I,I,PK455,PK156,11
NV3703,NV6742,I,D,PK278,PK295,11
NV6753,NV654,D,I,PK378,PK377,11
NV6171,NV656,I,I,PK295,PK304,10
NV6699,NV840,D,I,PK408,PK349,10
NV6145,NV308,I,I,PK343,PK333,10
NV6633,NV880,D,I,PK398,PK458,10
NV673,NV320,I,I,PK373,PK373,10
NV820,NV676,D,I,PK263,PK463,10
NV633,NV846,I,I,PK375,PK370,10
NV3421,NV658,D,I,PK355,PK352,10
NV309,NV634,I,I,PK454,PK454,10
NV655,NV6358,I,D,PK457,PK136,10
NV673,NV664,I,I,PK131,PK107,10
NV6405,NV846,D,I,PK418,PK370,10
NV6713,NV614,D,I,PK266,PK260,10
NV6753,NV826,D,I,PK378,PK382,10
NV3119,NV6714,I,D,PK368,PK369,9
NV659,NV318,I,I,PK471,PK464,9
NV659,NV698,I,I,PK471,PK487,9
NV891,NV6154,I,I,PK458,PK156,9
NV673,NV664,I,I,PK373,PK363,9
NV6709,NV656,D,I,PK297,PK304,9
NV323,NV690,I,I,PK260,PK208,9
NV6145,NV658,I,I,PK343,PK352,9
NV6735,NV6556,D,D,PK286,PK282,8
NV3260,NV308,D,I,PK326,PK333,8
NV6697,NV670,D,I,PK478,PK468,8
NV673,NV6578,I,D,PK373,PK480,8
NV6135,NV810,I,I,PK475,PK445,8
NV689,NV6230,I,D,PK464,PK155,8
NV6527,NV6134,D,I,PK139,PK149,8
NV6163,NV674,I,I,PK495,PK280,8
NV6653,NV880,D,I,PK407,PK458,8
NV655,NV6708,I,D,PK457,PK443,8
NV6479,NV820,D,I,PK498,PK263,8
NV615,NV688,I,I,PK354,PK347,7
NV6725,NV880,D,I,PK389,PK458,7
NV3513,NV346,D,I,PK490,PK456,7
NV851,NV6152,I,I,PK461,PK450,7
NV3654,NV830,D,I,PK294,PK275,7
NV655,NV6154,I,I,PK457,PK156,7
NV6533,NV318,D,I,PK493,PK464,7
NV6773,NV618,D,I,PK488,PK262,7
NV6405,NV880,D,I,PK418,PK458,7
NV6737,NV6134,D,I,PK414,PK391,7
NV698,NV318,D,I,PK487,PK464,7
NV393,NV318,I,I,PK472,PK464,7
NV6301,NV6714,D,D,PK346,PK369,7
NV6117,NV664,I,I,PK151,PK107,7
NV6241,NV6134,D,I,PK412,PK391,7
NV6171,NV3273,I,D,PK295,PK297,7
NV6737,NV880,D,I,PK414,PK458,7
NV657,NV308,I,I,PK316,PK333,7
NV673,NV320,I,I,PK131,PK131,7
NV883,NV3280,I,D,PK466,PK174,7
NV309,NV6152,I,I,PK454,PK450,7
NV827,NV3652,I,D,PK382,PK415,6
NV6155,NV629,I,D,PK285,PK311,6
NV849,NV664,I,I,PK377,PK363,6
NV6735,NV656,D,I,PK286,PK304,6
NV841,NV674,I,I,PK274,PK280,6
NV851,NV6154,I,I,PK461,PK156,6
NV6699,NV608,D,I,PK165,PK108,6
NV382,NV308,D,I,PK313,PK333,6
NV6145,NV6478,I,D,PK343,PK396,6
NV6489,NV6714,D,D,PK352,PK369,6
NV651,NV846,I,I,PK400,PK370,6
NV3119,NV6652,I,D,PK368,PK407,6
NV6294,NV398,D,I,PK253,PK271,6
NV3260,NV688,D,I,PK326,PK347,6
NV6199,NV654,I,I,PK372,PK377,6
NV302,NV642,D,I,PK319,PK337,6
NV3992,NV670,D,I,PK474,PK468,6
NV621,NV6632,I,D,PK386,PK398,6
NV659,NV306,I,I,PK471,PK148,6
NV6117,NV6811,I,D,PK393,PK399,6
NV628,NV318,D,I,PK485,PK464,6
NV6117,NV840,I,I,PK151,PK104,6
NV827,NV664,I,I,PK382,PK363,6
NV6575,NV6162,D,I,PK293,PK324,6
NV847,NV6154,I,I,PK453,PK156,6
NV619,NV6784,I,D,PK344,PK359,6
NV6119,NV6784,I,D,PK340,PK359,5
NV309,NV612,I,I,PK454,PK177,5
NV3702,NV308,D,I,PK330,PK333,5
NV891,NV6576,I,D,PK458,PK472,5
NV689,NV612,I,I,PK464,PK177,5
NV6643,NV840,D,I,PK161,PK104,5
NV6772,NV846,D,I,PK153,PK129,5
NV6153,NV656,I,I,PK292,PK304,5
NV643,NV6722,I,D,PK269,PK196,5
NV6773,NV692,D,I,PK488,PK089,5
NV6145,NV826,I,I,PK343,PK382,5
NV677,NV6738,I,D,PK449,PK117,5
NV383,NV6574,I,D,PK290,PK293,5
NV6443,NV670,D,I,PK256,PK468,5
NV6135,NV694,I,I,PK475,PK453,5
NV6642,NV880,D,I,PK160,PK106,5
NV304,NV308,D,I,PK332,PK333,5
NV835,NV6718,I,D,PK275,PK288,5
NV851,NV6230,I,D,PK461,PK155,5
NV673,NV6652,I,D,PK373,PK407,5
NV619,NV308,I,I,PK344,PK333,5
NV6713,NV318,D,I,PK266,PK464,5
NV6714,NV6632,D,D,PK369,PK398,5
NV6735,NV616,D,I,PK286,PK303,5
NV3260,NV860,D,I,PK326,PK365,5
NV6700,NV626,D,I,PK473,PK481,5
NV827,NV6652,I,D,PK382,PK407,5
NV698,NV898,D,I,PK487,PK159,5
NV698,NV670,D,I,PK487,PK468,5
NV3553,NV840,D,I,PK176,PK104,5
NV6163,NV676,I,I,PK495,PK463,5
NV698,NV6144,D,I,PK487,PK261,5
NV673,NV6528,I,D,PK373,PK381,5
NV6241,NV654,D,I,PK412,PK377,5
NV633,NV840,I,I,PK375,PK349,5
NV849,NV699,I,D,PK377,PK374,5
NV677,NV6708,I,D,PK449,PK443,4
NV827,NV6528,I,D,PK382,PK381,4
NV6119,NV308,I,I,PK340,PK333,4
NV628,NV398,D,I,PK485,PK271,4
NV621,NV320,I,I,PK386,PK373,4
NV655,NV6738,I,D,PK457,PK117,4
NV3197,NV6784,I,D,PK329,PK359,4
NV657,NV6162,I,I,PK316,PK324,4
NV677,NV3615,I,D,PK449,PK447,4
NV6119,NV6720,I,D,PK340,PK346,4
NV305,NV6488,I,D,PK270,PK256,4
NV6153,NV629,I,D,PK292,PK311,4
NV317,NV882,I,I,PK391,PK338,4
NV6535,NV640,D,I,PK273,PK466,4
NV619,NV6714,I,D,PK344,PK369,4
NV309,NV3263,I,D,PK454,PK170,4
NV6307,NV662,D,I,PK272,PK094,4
NV651,NV664,I,I,PK159,PK107,4
NV6145,NV688,I,I,PK343,PK347,4
NV687,NV6574,I,D,PK261,PK293,4
NV689,NV866,I,D,PK464,PK151,4
NV633,NV6478,I,D,PK375,PK396,4
NV6155,NV6742,I,D,PK285,PK295,4
NV689,NV3196,I,I,PK464,PK475,4
NV309,NV866,I,D,PK454,PK151,4
NV635,NV672,I,I,PK333,PK308,4
NV883,NV6230,I,D,PK466,PK155,4
NV827,NV320,I,I,PK382,PK373,4
NV847,NV6724,I,D,PK453,PK147,4
NV621,NV6652,I,D,PK386,PK407,4
NV3992,NV318,D,I,PK474,PK464,4
NV6709,NV642,D,I,PK297,PK337,4
NV6698,NV820,D,I,PK480,PK263,4
NV6698,NV632,D,I,PK480,PK258,4
NV347,NV6514,I,D,PK456,PK195,4
NV347,NV6504,I,D,PK456,PK193,4
NV6642,NV654,D,I,PK401,PK377,4
NV6633,NV880,D,I,PK157,PK106,4
NV6713,NV674,D,I,PK266,PK280,4
NV343,NV6577,I,D,PK460,PK477,4
NV382,NV682,D,I,PK313,PK471,4
NV891,NV6230,I,D,PK458,PK155,4
NV673,NV6811,I,D,PK373,PK399,4
GN0631,NV670,D,I,PK484,PK468,4
NV6715,NV658,D,I,PK325,PK352,4
NV6697,NV698,D,I,PK478,PK487,4
NV3702,NV860,D,I,PK330,PK365,4
NV659,NV6152,I,I,PK471,PK450,4
NV3703,NV6718,I,D,PK278,PK288,4
NV6719,NV616,D,I,PK288,PK303,4
NV3992,NV6773,D,D,PK474,PK488,4
