"到达
航班","出发
航班",到达类型,出发类型,到达转场号,出发转场号,乘客数,E_mn,A_I,A_D,O_I,O_D,到达时刻,出发时刻,conn_gap_min,transfer_time_max,transfer_time_min
NV677,NV6154,I,I,PK449,PK156,49,0.0,1,0,1,0,2018-01-20 04:10:00,2018-01-20 08:00:00,230.0,53.0,40.0
NV871,NV6154,I,I,PK455,PK156,11,0.0,1,0,1,0,2018-01-20 05:20:00,2018-01-20 08:00:00,160.0,53.0,40.0
NV655,NV6154,I,I,PK457,PK156,7,0.0,1,0,1,0,2018-01-20 05:40:00,2018-01-20 08:00:00,140.0,53.0,40.0
NV847,NV6154,I,I,PK453,PK156,6,0.0,1,0,1,0,2018-01-20 05:00:00,2018-01-20 08:00:00,180.0,53.0,40.0
NV891,NV6154,I,I,PK458,PK156,9,0.0,1,0,1,0,2018-01-20 05:45:00,2018-01-20 08:00:00,135.0,53.0,40.0
NV851,NV6154,I,I,PK461,PK156,6,0.0,1,0,1,0,2018-01-20 05:55:00,2018-01-20 08:00:00,125.0,53.0,40.0
NV347,NV6154,I,I,PK456,PK156,1,0.0,1,0,1,0,2018-01-20 05:35:00,2018-01-20 08:00:00,145.0,53.0,40.0
NV677,NV6738,I,D,PK449,PK117,5,0.0,1,0,0,1,2018-01-20 04:10:00,2018-01-20 07:45:00,215.0,81.0,55.0
NV655,NV6738,I,D,PK457,PK117,4,0.0,1,0,0,1,2018-01-20 05:40:00,2018-01-20 07:45:00,125.0,81.0,55.0
NV847,NV6738,I,D,PK453,PK117,3,0.0,1,0,0,1,2018-01-20 05:00:00,2018-01-20 07:45:00,165.0,81.0,55.0
NV309,NV6738,I,D,PK454,PK117,1,0.0,1,0,0,1,2018-01-20 05:15:00,2018-01-20 07:45:00,150.0,81.0,55.0
NV891,NV6738,I,D,PK458,PK117,1,0.0,1,0,0,1,2018-01-20 05:45:00,2018-01-20 07:45:00,120.0,81.0,55.0
NV851,NV6738,I,D,PK461,PK117,2,0.0,1,0,0,1,2018-01-20 05:55:00,2018-01-20 07:45:00,110.0,81.0,55.0
NV677,NV6708,I,D,PK449,PK443,4,0.0,1,0,0,1,2018-01-20 04:10:00,2018-01-20 07:50:00,220.0,81.0,55.0
NV655,NV6708,I,D,PK457,PK443,8,0.0,1,0,0,1,2018-01-20 05:40:00,2018-01-20 07:50:00,130.0,81.0,55.0
NV847,NV6708,I,D,PK453,PK443,1,0.0,1,0,0,1,2018-01-20 05:00:00,2018-01-20 07:50:00,170.0,81.0,55.0
NV309,NV6708,I,D,PK454,PK443,1,0.0,1,0,0,1,2018-01-20 05:15:00,2018-01-20 07:50:00,155.0,81.0,55.0
NV675,NV6708,I,D,PK452,PK443,3,0.0,1,0,0,1,2018-01-20 04:55:00,2018-01-20 07:50:00,175.0,81.0,55.0
NV677,NV3615,I,D,PK449,PK447,4,0.0,1,0,0,1,2018-01-20 04:10:00,2018-01-20 06:55:00,165.0,81.0,55.0
NV871,NV3615,I,D,PK455,PK447,1,0.0,1,0,0,1,2018-01-20 05:20:00,2018-01-20 06:55:00,95.0,81.0,55.0
NV847,NV3615,I,D,PK453,PK447,1,0.0,1,0,0,1,2018-01-20 05:00:00,2018-01-20 06:55:00,115.0,81.0,55.0
NV309,NV3615,I,D,PK454,PK447,2,0.0,1,0,0,1,2018-01-20 05:15:00,2018-01-20 06:55:00,100.0,81.0,55.0
NV677,NV3446,I,D,PK449,PK150,2,0.0,1,0,0,1,2018-01-20 04:10:00,2018-01-20 06:40:00,150.0,81.0,55.0
NV847,NV3446,I,D,PK453,PK150,1,0.0,1,0,0,1,2018-01-20 05:00:00,2018-01-20 06:40:00,100.0,81.0,55.0
NV675,NV3446,I,D,PK452,PK150,1,0.0,1,0,0,1,2018-01-20 04:55:00,2018-01-20 06:40:00,105.0,81.0,55.0
NV677,NV6724,I,D,PK449,PK147,1,0.0,1,0,0,1,2018-01-20 04:10:00,2018-01-20 08:20:00,250.0,81.0,55.0
NV655,NV6724,I,D,PK457,PK147,1,0.0,1,0,0,1,2018-01-20 05:40:00,2018-01-20 08:20:00,160.0,81.0,55.0
NV847,NV6724,I,D,PK453,PK147,4,0.0,1,0,0,1,2018-01-20 05:00:00,2018-01-20 08:20:00,200.0,81.0,55.0
NV891,NV6724,I,D,PK458,PK147,2,0.0,1,0,0,1,2018-01-20 05:45:00,2018-01-20 08:20:00,155.0,81.0,55.0
NV323,NV318,I,I,PK260,PK464,44,0.0,1,0,1,0,2018-01-20 10:20:00,2018-01-20 12:05:00,105.0,53.0,40.0
NV6684,NV318,D,I,PK482,PK464,3,0.0,0,1,1,0,2018-01-20 08:55:00,2018-01-20 12:05:00,190.0,73.0,55.0
NV3120,NV318,D,I,PK257,PK464,3,0.0,0,1,1,0,2018-01-20 10:15:00,2018-01-20 12:05:00,110.0,73.0,55.0
NV6713,NV318,D,I,PK266,PK464,5,0.0,0,1,1,0,2018-01-20 10:35:00,2018-01-20 12:05:00,90.0,73.0,55.0
NV659,NV318,I,I,PK471,PK464,9,0.0,1,0,1,0,2018-01-20 07:20:00,2018-01-20 12:05:00,285.0,53.0,40.0
NV6135,NV318,I,I,PK475,PK464,2,0.0,1,0,1,0,2018-01-20 08:35:00,2018-01-20 12:05:00,210.0,53.0,40.0
NV6479,NV318,D,I,PK498,PK464,2,0.0,0,1,1,0,2018-01-20 09:50:00,2018-01-20 12:05:00,135.0,73.0,55.0
NV6533,NV318,D,I,PK493,PK464,7,0.0,0,1,1,0,2018-01-20 09:40:00,2018-01-20 12:05:00,145.0,73.0,55.0
NV6773,NV318,D,I,PK488,PK464,1,0.0,0,1,1,0,2018-01-20 09:25:00,2018-01-20 12:05:00,160.0,73.0,55.0
NV698,NV318,D,I,PK487,PK464,7,0.0,0,1,1,0,2018-01-20 09:20:00,2018-01-20 12:05:00,165.0,73.0,55.0
NV393,NV318,I,I,PK472,PK464,7,0.0,1,0,1,0,2018-01-20 07:05:00,2018-01-20 12:05:00,300.0,53.0,40.0
NV6294,NV318,D,I,PK253,PK464,2,0.0,0,1,1,0,2018-01-20 10:00:00,2018-01-20 12:05:00,125.0,73.0,55.0
NV3992,NV318,D,I,PK474,PK464,4,0.0,0,1,1,0,2018-01-20 08:25:00,2018-01-20 12:05:00,220.0,73.0,55.0
NV628,NV318,D,I,PK485,PK464,6,0.0,0,1,1,0,2018-01-20 09:15:00,2018-01-20 12:05:00,170.0,73.0,55.0
NV6731,NV318,D,I,PK262,PK464,2,0.0,0,1,1,0,2018-01-20 10:25:00,2018-01-20 12:05:00,100.0,73.0,55.0
NV632,NV318,D,I,PK258,PK464,1,0.0,0,1,1,0,2018-01-20 10:15:00,2018-01-20 12:05:00,110.0,73.0,55.0
NV6577,NV318,D,I,PK477,PK464,2,0.0,0,1,1,0,2018-01-20 08:40:00,2018-01-20 12:05:00,205.0,73.0,55.0
NV6655,NV318,D,I,PK491,PK464,1,0.0,0,1,1,0,2018-01-20 09:35:00,2018-01-20 12:05:00,150.0,73.0,55.0
NV3620,NV318,D,I,PK481,PK464,2,0.0,0,1,1,0,2018-01-20 08:55:00,2018-01-20 12:05:00,190.0,73.0,55.0
NV6645,NV318,D,I,PK479,PK464,1,0.0,0,1,1,0,2018-01-20 08:45:00,2018-01-20 12:05:00,200.0,73.0,55.0
GN0571,NV318,D,I,PK492,PK464,2,0.0,0,1,1,0,2018-01-20 09:40:00,2018-01-20 12:05:00,145.0,73.0,55.0
NV837,NV318,I,I,PK499,PK464,2,0.0,1,0,1,0,2018-01-20 09:50:00,2018-01-20 12:05:00,135.0,53.0,40.0
NV6513,NV318,D,I,PK254,PK464,1,0.0,0,1,1,0,2018-01-20 10:05:00,2018-01-20 12:05:00,120.0,73.0,55.0
NV323,NV692,I,I,PK260,PK089,23,0.0,1,0,1,0,2018-01-20 10:20:00,2018-01-20 13:30:00,190.0,53.0,40.0
NV6785,NV692,D,I,PK271,PK089,2,0.0,0,1,1,0,2018-01-20 11:00:00,2018-01-20 13:30:00,150.0,73.0,55.0
NV6697,NV692,D,I,PK478,PK089,1,0.0,0,1,1,0,2018-01-20 08:40:00,2018-01-20 13:30:00,290.0,73.0,55.0
NV6135,NV692,I,I,PK475,PK089,1,0.0,1,0,1,0,2018-01-20 08:35:00,2018-01-20 13:30:00,295.0,53.0,40.0
NV6773,NV692,D,I,PK488,PK089,5,0.0,0,1,1,0,2018-01-20 09:25:00,2018-01-20 13:30:00,245.0,73.0,55.0
NV6535,NV692,D,I,PK273,PK089,1,0.0,0,1,1,0,2018-01-20 11:20:00,2018-01-20 13:30:00,130.0,73.0,55.0
NV6731,NV692,D,I,PK262,PK089,1,0.0,0,1,1,0,2018-01-20 10:25:00,2018-01-20 13:30:00,185.0,73.0,55.0
NV632,NV692,D,I,PK258,PK089,2,0.0,0,1,1,0,2018-01-20 10:15:00,2018-01-20 13:30:00,195.0,73.0,55.0
NV303,NV692,I,I,PK268,PK089,1,0.0,1,0,1,0,2018-01-20 10:40:00,2018-01-20 13:30:00,170.0,53.0,40.0
NV323,NV694,I,I,PK260,PK453,17,0.0,1,0,1,0,2018-01-20 10:20:00,2018-01-20 13:20:00,180.0,53.0,40.0
NV858,NV694,D,I,PK265,PK453,1,0.0,0,1,1,0,2018-01-20 10:30:00,2018-01-20 13:20:00,170.0,73.0,55.0
NV6684,NV694,D,I,PK482,PK453,3,0.0,0,1,1,0,2018-01-20 08:55:00,2018-01-20 13:20:00,265.0,73.0,55.0
NV6785,NV694,D,I,PK271,PK453,1,0.0,0,1,1,0,2018-01-20 11:00:00,2018-01-20 13:20:00,140.0,73.0,55.0
NV3120,NV694,D,I,PK257,PK453,1,0.0,0,1,1,0,2018-01-20 10:15:00,2018-01-20 13:20:00,185.0,73.0,55.0
NV6135,NV694,I,I,PK475,PK453,5,0.0,1,0,1,0,2018-01-20 08:35:00,2018-01-20 13:20:00,285.0,53.0,40.0
NV3513,NV694,D,I,PK490,PK453,1,0.0,0,1,1,0,2018-01-20 09:35:00,2018-01-20 13:20:00,225.0,73.0,55.0
NV6294,NV694,D,I,PK253,PK453,1,0.0,0,1,1,0,2018-01-20 10:00:00,2018-01-20 13:20:00,200.0,73.0,55.0
NV643,NV694,I,I,PK269,PK453,1,0.0,1,0,1,0,2018-01-20 10:45:00,2018-01-20 13:20:00,155.0,53.0,40.0
NV6577,NV694,D,I,PK477,PK453,3,0.0,0,1,1,0,2018-01-20 08:40:00,2018-01-20 13:20:00,280.0,73.0,55.0
NV6645,NV694,D,I,PK479,PK453,1,0.0,0,1,1,0,2018-01-20 08:45:00,2018-01-20 13:20:00,275.0,73.0,55.0
NV6513,NV694,D,I,PK254,PK453,1,0.0,0,1,1,0,2018-01-20 10:05:00,2018-01-20 13:20:00,195.0,73.0,55.0
NV323,NV690,I,I,PK260,PK208,9,0.0,1,0,1,0,2018-01-20 10:20:00,2018-01-20 14:20:00,240.0,53.0,40.0
NV858,NV690,D,I,PK265,PK208,1,0.0,0,1,1,0,2018-01-20 10:30:00,2018-01-20 14:20:00,230.0,73.0,55.0
